sorting	itemID	organismID	materialSampleID	institutionCode	collectionCode	fullCatalogNumber	catalogNumber	rightsHolder	coremaBasisOfRecord	informationWithheld	recordedBy	sex	lifeStage	preparations	disposition	eventDate	country	stateProvince	county	locality	minimumElevationInMeters	decimalLatitude	decimalLongitude	identificationRemarks	identifiedBy	dateIdentified	typeStatus	scientificName	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	materialSampleType	concentration	concentrationUnit	associatedMedia
407	urn:uuid:48f2dd4c-3f84-459a-8b73-1d112cad36a6	urn:uuid:d4d79bb5-c106-516a-8692-5c39a9704a9e	urn:uuid:48f2dd4c-3f84-459a-8b73-1d112cad36a6	NHMO	BI	NHMO-BI-39329/1-B	39329	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Unknown		Blood	Existing	22.01.1997	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	22.01.1997		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
408	urn:uuid:340afa50-6ef7-4146-8fce-34cc4826020c	urn:uuid:d5150592-6512-5005-825a-cf000765b430	urn:uuid:340afa50-6ef7-4146-8fce-34cc4826020c	NHMO	BI	NHMO-BI-25211/1-B | NHMO-BI-25211/2-S	25211	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	Male	Adult	Blood	Existing	27.04.2010	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, El Rosario		28.425833	-16.384722		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	27.04.2010		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% | Formalin	Blood | Sperm sample						Tissue			
409	urn:uuid:e8101b05-d0d3-4252-8ad2-c21f4f103413	urn:uuid:d5e90344-8874-58df-a3e8-93a8b2ca918e	urn:uuid:e8101b05-d0d3-4252-8ad2-c21f4f103413	NHMO	BI	NHMO-BI-59721/1-P	59721	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Unknown	Unknown	Unknown	Study skin	Existing										Unknown			Asio capensis (Smith, A, 1834)	Strigiformes	Strigidae	Asio	capensis		species	(Smith, A, 1834)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13905261&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13905262&type=jpeg
410	urn:uuid:ece31aa2-0e17-4498-b43e-66172f684255	urn:uuid:d6caa882-c026-544b-9539-e86d678e7cf2	urn:uuid:ece31aa2-0e17-4498-b43e-66172f684255	NHMO	BI	NHMO-BI-27892/1-B	27892	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	Female	Adult	Blood	Existing	05.05.2011	Portugal	Madeira		Santo da Serra		32.725611	-16.812778		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	05.05.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
411	urn:uuid:41701d02-c4d9-4f71-9a23-3a906106b172	urn:uuid:d75a0a69-49dc-5217-8bef-324f845fa137	urn:uuid:41701d02-c4d9-4f71-9a23-3a906106b172	NHMO	BI	NHMO-BI-27885/1-B | NHMO-BI-27885/2-D | NHMO-BI-27885/3-S	27885	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	Male	Adult	Blood	Existing	05.05.2011	Portugal	Madeira		Santo da Serra		32.725611	-16.812778		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	05.05.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96% |  | Formalin, w/PBS	Blood | gDNA | Sperm sample	 | Omega EZNA kit, plate	 | Johannessen, Lars Erik	 | 2011-06-21		BONMA287-11	Tissue | DNA			
412	urn:uuid:20a20193-82f5-4ff5-a01b-22616c7bfcb3	urn:uuid:d7beef76-3071-5f4d-8b37-844e1a8b3b6d	urn:uuid:20a20193-82f5-4ff5-a01b-22616c7bfcb3	NHMO	BI	NHMO-BI-45005/1-S	45005	Natural History Museum, University of Oslo, Norway	MaterialSample		Rodrigues, Pedro	Male	Adult	Sperm sample	Existing	14.06.2011	Portugal	Autonomous Region of Azores	São Miguel	Tronqueira (SMI_002)		37.769722	-25.197222		Rodrigues, Pedro	14.06.2011		Pyrrhula murina Godman, 1866	Passeriformes	Fringillidae	Pyrrhula	murina		species	Godman, 1866	Formalin, w/PBS	Sperm sample						Tissue			
413	urn:uuid:83df8969-dcbd-41fb-b901-d5fa4783524f	urn:uuid:d8270cf1-c5d5-54e1-8f63-6e3d4c52cfc1	urn:uuid:83df8969-dcbd-41fb-b901-d5fa4783524f	NHMO	BI	NHMO-BI-46536/1-S	46536	Natural History Museum, University of Oslo, Norway	MaterialSample		Supriya	Male	Adult	Sperm sample	Existing	27.06.2013	India			Mandal		30.460644	79.27445		Supriya	27.06.2013		Turdus unicolor Tickell, 1833	Passeriformes	Turdidae	Turdus	unicolor		species	Tickell, 1833	Formalin, w/PBS	Sperm sample						Tissue			
414	urn:uuid:a9727310-40a7-4238-9fb5-cc192227aa0a	urn:uuid:d84ae8c5-d381-5fce-b526-2b17e3423b84	urn:uuid:a9727310-40a7-4238-9fb5-cc192227aa0a	NHMO	BI	NHMO-BI-8863/1-B	8863	Natural History Museum, University of Oslo, Norway	MaterialSample		Nilsen, Øystein Birkeland	Male		Blood	Existing	19.05.2005	Norway	Rogaland	Utsira	Utsira		59.3	4.883333		Nilsen, Øystein Birkeland	19.05.2005		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
415	urn:uuid:5ebca1dc-814e-4097-937a-cbb50a6a6ed7	urn:uuid:d942b605-d88d-5d45-b3b7-659b3cc91f97	urn:uuid:5ebca1dc-814e-4097-937a-cbb50a6a6ed7	NHMO	BI	NHMO-BI-48685/1-P	48685	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Fjeldberg, Anton	Male	Unknown	Mounted	Existing	03.10.1936	Norway	Østfold	Råde	Råde		59.352	10.872			03.10.1936		Zoothera aurea (Holandre, 1825)	Passeriformes	Turdidae	Zoothera	aurea		species	(Holandre, 1825)	Dry	Mounted						Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15552211&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15552212&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15552214&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15552215&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15552216&type=jpeg
416	urn:uuid:3f89f2dd-900d-4bf1-8304-52ae761d15be	urn:uuid:d9597ee4-9919-5574-843c-f957505df380	urn:uuid:3f89f2dd-900d-4bf1-8304-52ae761d15be	NHMO	BI	NHMO-BI-59660/1-P	59660	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Unknown	Unknown	Unknown	Study skin	Existing										Unknown			Asio capensis (Smith, A, 1834)	Strigiformes	Strigidae	Asio	capensis		species	(Smith, A, 1834)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13905138&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13905139&type=jpeg
417	urn:uuid:dc3b6ffc-1aef-40a1-a3be-758dfbcb987a	urn:uuid:d9a72068-3325-509a-87d2-e45436d947aa	urn:uuid:dc3b6ffc-1aef-40a1-a3be-758dfbcb987a	NHMO	BI	NHMO-BI-18216/1-B | NHMO-BI-18216/2-S	18216	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Male		Blood	Existing	24.03.2009	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, Lagunetas		28.416667	-16.416667		Lifjeld, Jan T.	24.03.2009		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% | Formalin	Blood | Sperm sample						Tissue			
418	urn:uuid:d03e93a5-10bf-4969-b502-7ee33d282264	urn:uuid:da616fa5-c3c2-5602-8b32-2c2647940144	urn:uuid:d03e93a5-10bf-4969-b502-7ee33d282264	NHMO	BI	NHMO-BI-40123/1-B | NHMO-BI-40123/2-D	40123	Natural History Museum, University of Oslo, Norway	MaterialSample		Røer, Jan Erik	Male		Blood	Existing	28.09.2003	Norway	Vest-Agder	Kvinesdal	ØYESTRANDA		58.283333	06.sep		Røer, Jan Erik	28.09.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's | 	Blood | gDNA						Tissue | DNA			
419	urn:uuid:7ffae590-73db-43d1-a815-63a26d8e3650	urn:uuid:da632ecb-9a52-5d68-93ce-05dceff07255	urn:uuid:7ffae590-73db-43d1-a815-63a26d8e3650	NHMO	BI	NHMO-BI-18223/1-B	18223	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Female		Blood	Existing	24.03.2009	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, Lagunetas		28.416667	-16.416667		Lifjeld, Jan T.	24.03.2009		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96%	Blood						Tissue			
420	urn:uuid:34370452-a09d-4b8f-9692-5ddd6ff3c776	urn:uuid:da744928-2274-51a2-85c9-4b264de0eb06	urn:uuid:34370452-a09d-4b8f-9692-5ddd6ff3c776	NHMO	BI	NHMO-BI-59462/1-P	59462	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Female	Unknown	Study skin	Existing		India								Unknown			Turnix sylvaticus (Desfontaines, 1789)	Charadriiformes	Turnicidae	Turnix	sylvaticus		species	(Desfontaines, 1789)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904588&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904589&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904590&type=jpeg
421	urn:uuid:9439e7da-4f55-4a25-bdb9-d7bb56f79375	urn:uuid:dacdb7ad-8193-506e-9a17-6dd07c2ee828	urn:uuid:9439e7da-4f55-4a25-bdb9-d7bb56f79375	NHMO	BI	NHMO-BI-57053/1-P	57053	Natural History Museum, University of Oslo, Norway	PreservedSpecimen			Male	Adult	Study skin	Existing	2000-09	Norway			Sameia, Eidsberg kommune. E. Johnsen's eiendom.						2000-09		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Dry	Study skin						Specimen			
422	urn:uuid:8648f838-61bb-4fe1-8480-a6fdf8c0b476	urn:uuid:db5eaee2-b25d-51b0-9fc4-42615f0dd461	urn:uuid:8648f838-61bb-4fe1-8480-a6fdf8c0b476	NHMO	BI	NHMO-BI-59004/1-P	59004	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Blyth	Unknown	Unknown	Study skin	Existing		Malaysia			Malacca					Blyth			Porphyrio poliocephalus poliocephalus (Latham, 1801)	Gruiformes	Rallidae	Porphyrio	poliocephalus	poliocephalus	subspecies	(Latham, 1801)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903249&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903250&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903251&type=jpeg
423	urn:uuid:303355de-33b7-423a-933d-fcdc2763fff8	urn:uuid:db57deef-46a1-54d3-9637-c11e8742d4ad	urn:uuid:303355de-33b7-423a-933d-fcdc2763fff8	NHMO	BI	NHMO-BI-27595/1-B	27595	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	Female	Adult	Blood	Existing	10.03.2011	Portugal	Madeira		Quiemadas		32.783833	-16.906306		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	10.03.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
