sorting	itemID	organismID	materialSampleID	institutionCode	collectionCode	fullCatalogNumber	catalogNumber	rightsHolder	coremaBasisOfRecord	informationWithheld	recordedBy	sex	lifeStage	preparations	disposition	eventDate	country	stateProvince	county	locality	minimumElevationInMeters	decimalLatitude	decimalLongitude	identificationRemarks	identifiedBy	dateIdentified	typeStatus	scientificName	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	materialSampleType	concentration	concentrationUnit	associatedMedia
1	urn:uuid:363beec6-2649-4c4c-8f3c-123727a0973d	urn:uuid:024d17d6-ee5b-537d-837d-afbc5f0e0236	urn:uuid:363beec6-2649-4c4c-8f3c-123727a0973d	NHMO	BI	NHMO-BI-14007/1-B | NHMO-BI-14007/2-D | NHMO-BI-14007/3-D | NHMO-BI-14007/4-B	14007	Natural History Museum, University of Oslo, Norway	MaterialSample		Yosef, Reuven	Female		Blood	Existing	03.08.2007	Israel			Eilat		29.55	34.933333		Yosef, Reuven	03.08.2007		Oenanthe monacha (Temminck, 1825)	Passeriformes	Muscicapidae	Oenanthe	monacha		species	(Temminck, 1825)	Ethanol, 96% |  | Buffer	Blood | gDNA | MaterialSample	 | Omega EZNA kit, plate	 | Marthinsen, Gunnhild | Hogner, Silje	 | 2008-07-23	 | 	BOI048-08 | 	Tissue | DNA | 			
2	urn:uuid:c2c95694-cd50-4233-8bfc-b2c15e666303	urn:uuid:02ef4af5-d4ae-5f46-8f59-1fdcf2933b4e	urn:uuid:c2c95694-cd50-4233-8bfc-b2c15e666303	NHMO	BI	NHMO-BI-25193/1-B | NHMO-BI-25193/2-S	25193	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	Male	Adult	Blood	Existing	26.04.2010	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, El Rosario		28.425833	-16.384722		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	26.04.2010		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% | Formalin	Blood | Sperm sample						Tissue			
3	urn:uuid:448dcabf-7188-4292-81c3-19c8daf4a76e	urn:uuid:031a437b-4b88-57a8-8255-961e8fcecf1c	urn:uuid:448dcabf-7188-4292-81c3-19c8daf4a76e	NHMO	BI	NHMO-BI-59054/1-P	59054	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Unknown	Unknown	Study skin	Existing		India								Unknown			Porphyrio poliocephalus poliocephalus (Latham, 1801)	Gruiformes	Rallidae	Porphyrio	poliocephalus	poliocephalus	subspecies	(Latham, 1801)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903397&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903398&type=jpeg
4	urn:uuid:2c355ef6-1172-4285-a663-93047400158c	urn:uuid:03d3e748-3ade-5aad-9324-70b936d744b3	urn:uuid:2c355ef6-1172-4285-a663-93047400158c	NHMO	BI	NHMO-BI-62162/1-P	62162	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Juvenile	Mounted	Existing	1888-02-23	Russian Federation	Republic of Dagestan		Terek-Oblast, N. Kaukasus					Unknown	1888-02-23		Lyrurus mlokosiewiczi (Taczanowski, 1875)	Galliformes	Phasianidae	Lyrurus	mlokosiewiczi		species	(Taczanowski, 1875)	Dry	Mounted		J.I.J				Specimen			
5	urn:uuid:43977bbd-af4a-4a3a-9f0c-b08638533da8	urn:uuid:03f8d377-cb7c-5d00-855b-dc57afef5050	urn:uuid:43977bbd-af4a-4a3a-9f0c-b08638533da8	NHMO	BI	NHMO-BI-76682/1-B | NHMO-BI-76682/2-S	76682	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Male	Adult	Blood	Existing	30.10.2014	Cape Verde	Sotavento	Santiago	Praia airport		14.926333	-23.602583		Lifjeld, Jan T.	30.10.2014		Ammomanes cinctura cinctura (Gould, 1839)	Passeriformes	Alaudidae	Ammomanes	cinctura	cinctura	subspecies	(Gould, 1839)	Ethanol, 96% | Formalin, w/PBS	Blood | Sperm sample		Lifjeld, Jan T.	30.10.2014		BONMA743-15	Tissue			
6	urn:uuid:ef80eeeb-c85b-4304-991a-ebbb2cb722df	urn:uuid:055931f1-e7be-5e88-b4d3-6c3d228b65a0	urn:uuid:ef80eeeb-c85b-4304-991a-ebbb2cb722df	NHMO	BI	NHMO-BI-50270/1-P	50270	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Aall, Nicolai Benjamin collection	Unknown	Unknown	Mounted	Existing	1867-09	Norway	Aust-Agder	Tvedestrand	Dybvåg, Tvedestrand						1867-09		Puffinus mauretanicus Lowe, 1921	Procellariiformes	Procellariidae	Puffinus	mauretanicus		species	Lowe, 1921	Dry	Mounted						Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15292567&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15292568&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15292569&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15292570&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15424003&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15424004&type=jpeg
7	urn:uuid:051a164f-850b-418f-b67c-48f5bc3b92a1	urn:uuid:07395369-0793-5619-96a9-d6c7da27a9f4	urn:uuid:051a164f-850b-418f-b67c-48f5bc3b92a1	NHMO	BI	NHMO-BI-88176/1-S	88176	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	25.05.2016	Italy	Apulia		Lago Salso		41.541556	15.890056		Rowe, Melissah	25.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	25.05.2016			Tissue			
8	urn:uuid:533c90f8-4018-4647-b7af-bf82a8f485f0	urn:uuid:0895ccfc-edc9-584c-abd9-71514deb8790	urn:uuid:533c90f8-4018-4647-b7af-bf82a8f485f0	NHMO	BI	NHMO-BI-27589/1-B	27589	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	Female	Adult	Blood	Existing	10.03.2011	Portugal	Madeira		Quiemadas		32.783833	-16.906306		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	10.03.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
9	urn:uuid:dec1f377-ec78-4af8-aedb-e3031746cf36	urn:uuid:08c85a23-f675-5498-8902-2ab167b8ea76	urn:uuid:dec1f377-ec78-4af8-aedb-e3031746cf36	NHMO	BI	NHMO-BI-88156/1-S	88156	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	22.05.2016	Italy	Apulia		Masseria Montanari		41.910222	15.853611		Rowe, Melissah	22.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	22.05.2016			Tissue			
10	urn:uuid:ba527c41-bc06-439a-98e5-c31f83d08f25	urn:uuid:08dc6553-e222-5577-8c8e-49dfd57a41da	urn:uuid:ba527c41-bc06-439a-98e5-c31f83d08f25	NHMO	BI	NHMO-BI-88157/1-S	88157	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	22.05.2016	Italy	Apulia		Masseria Montanari		41.910222	15.853611		Rowe, Melissah	22.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	22.05.2016			Tissue			
11	urn:uuid:0f94a103-f333-4d35-95f9-3111b1cb8ab0	urn:uuid:09a8da57-5d63-533a-a707-187989211b95	urn:uuid:0f94a103-f333-4d35-95f9-3111b1cb8ab0	NHMO	BI	NHMO-BI-64574/1-P	64574	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Unknown	Preserved specimen	Existing	09.07.1901	Italy			Sardinia					Unknown	09.07.1901		Puffinus yelkouan (Acerbi, 1827)	Procellariiformes	Procellariidae	Puffinus	yelkouan		species	(Acerbi, 1827)	Dry	PreservedSpecimen		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13914352&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13914353&type=jpeg
12	urn:uuid:11d2aaf4-c2fa-41c8-ab49-40d47e882cd3	urn:uuid:0a5ebe32-82c0-5273-9cad-bbdba92f4bab	urn:uuid:11d2aaf4-c2fa-41c8-ab49-40d47e882cd3	NHMO	BI	NHMO-BI-54900/1-P	54900	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Rønning, Svein	Female	Juvenile	Study skin	Existing	20.08.1966	Norway								"Lid, G.; Preuss, O."	20.08.1966		Circus macrourus (Gmelin, SG, 1770)	Accipitriformes	Accipitridae	Circus	macrourus		species	(Gmelin, SG, 1770)	Dry	Study skin						Specimen			
13	urn:uuid:f4ee6dc3-bb34-40d9-8e36-51c4adfd4d67	urn:uuid:0a1da79e-b223-5ecd-97d9-6e177e899d5b	urn:uuid:f4ee6dc3-bb34-40d9-8e36-51c4adfd4d67	NHMO	BI	NHMO-BI-39299/1-B	39299	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Female		Blood	Existing	01.03.1997	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	01.03.1997		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
14	urn:uuid:4396d392-19c1-41da-9978-0998a5399a13	urn:uuid:0b2fe6e0-8440-5b13-9185-e5e6e686634c	urn:uuid:4396d392-19c1-41da-9978-0998a5399a13	NHMO	BI	NHMO-BI-83993/1-F | NHMO-BI-83993/2-T | NHMO-BI-83993/3-T	83993	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		"Lifjeld, Jan T.; Garcia-del-Rey, Eduardo"	Unknown		Preserved feather	Existing	14.04.2015	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, Erjos de el Tanque	1062	28.326556	-16.8005		"Lifjeld, Jan T.; Garcia-del-Rey, Eduardo"	14.04.2015		Columba bollii Godman, 1872	Columbiformes	Columbidae	Columba	bollii		species	Godman, 1872	Dry | Ethanol, 96%	Preserved feather | Feather (tissue sample)		"Lifjeld, Jan T.; Garcia-del-Re | Johannessen, Lars Erik"	2015-04-14 | 2015-04-24			Specimen | Tissue			
15	urn:uuid:d4d4ea0a-4fc3-4c8f-a7f1-fd1db782466c	urn:uuid:0bdde62c-4ae9-5470-b467-40d8cd6f1aca	urn:uuid:d4d4ea0a-4fc3-4c8f-a7f1-fd1db782466c	NHMO	BI	NHMO-BI-8843/1-B	8843	Natural History Museum, University of Oslo, Norway	MaterialSample		Nilsen, Øystein Birkeland	Male		Blood	Existing	11.05.2005	Norway	Rogaland	Utsira	Utsira		59.3	4.883333		Nilsen, Øystein Birkeland	11.05.2005		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
16	urn:uuid:2af9cb04-f080-441d-b035-20a43be7760c	urn:uuid:0bf5b675-9d66-5908-ad67-6cbbe92583b6	urn:uuid:2af9cb04-f080-441d-b035-20a43be7760c	NHMO	BI	NHMO-BI-92107/1-E	92107	Natural History Museum, University of Oslo, Norway	PreservedSpecimen					Blown eggshell	Existing										Johannessen, Lars Erik	24.08.2017		Alectoris rufa (Linnaeus, 1758)	Galliformes	Phasianidae	Alectoris	rufa		species	(Linnaeus, 1758)		Blown eggshell						Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14289636&type=jpeg
17	urn:uuid:77b64ed8-ff49-4d5f-9288-2542291bf1ab	urn:uuid:0d72115a-4631-5262-bfc5-81ec438810d6	urn:uuid:77b64ed8-ff49-4d5f-9288-2542291bf1ab	NHMO	BI	NHMO-BI-40722/1-B | NHMO-BI-40722/2-D	40722	Natural History Museum, University of Oslo, Norway	MaterialSample		Andersen, Truls Wexhal	Unknown		Blood	Existing	29.05.2004	Norway	Rogaland	Utsira	Utsira		59.3	4.883333		Andersen, Truls Wexhal	29.05.2004		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's | 	Blood | gDNA						Tissue | DNA			
18	urn:uuid:b0c8d6cc-6ed6-4cda-8706-6c44dc779e89	urn:uuid:0db325c1-187c-5412-a92c-faa11624cefc	urn:uuid:b0c8d6cc-6ed6-4cda-8706-6c44dc779e89	NHMO	BI	NHMO-BI-39933/1-B | NHMO-BI-39933/2-D	39933	Natural History Museum, University of Oslo, Norway	MaterialSample			Male	Unknown	Blood	Existing	28.05.2003	Norway	Telemark	Kragerø	Jomfruland fuglestasjon		58.881389	9.610556			28.05.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's | 	Blood | gDNA						Tissue | DNA			
19	urn:uuid:4887033c-428a-43e5-b2fb-c1c0df5c1f33	urn:uuid:0f77c84c-8144-51a4-ae3e-4bcf7dd1dedc	urn:uuid:4887033c-428a-43e5-b2fb-c1c0df5c1f33	NHMO	BI	NHMO-BI-39223/1-B | NHMO-BI-39323/1-B	39223	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Female		Blood	Existing	12.01.1997	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	12.01.1997		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
20	urn:uuid:49e3bd6b-8a14-4b93-af07-df654d27cad9	urn:uuid:106f4934-b7db-5e74-a31c-7e2d45fe7bf1	urn:uuid:49e3bd6b-8a14-4b93-af07-df654d27cad9	NHMO	BI	NHMO-BI-92165/1-E	92165	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Pearson			Blown eggshell	Existing	1892	Spain	Canarias	Las Palmas	Fuerteventura					Johannessen, Lars Erik	1892		Cursorius cursor (Latham, 1787)	Charadriiformes	Glareolidae	Cursorius	cursor		species	(Latham, 1787)		Blown eggshell						Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14289694&type=jpeg
21	urn:uuid:ae260d6c-a8b0-459f-9ef5-7944d1c5ccf9	urn:uuid:1061763d-67cc-566c-ba68-d72821299e8d	urn:uuid:ae260d6c-a8b0-459f-9ef5-7944d1c5ccf9	NHMO	BI	NHMO-BI-102150/1-S | NHMO-BI-102150/2-B	102150	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Male		Sperm sample	Existing	09.11.2016	New Zealand	Canterbury Region		Kaikoura		-42.352222	173.666667		Johannessen, Lars Erik	02.12.2021		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Formalin, w/PBS | Ethanol, 96%	Sperm sample | Blood	Cloacal massage | 	Lifjeld, Jan T.	09.11.2016			Tissue			
22	urn:uuid:d752f61c-5ee6-4e60-9a8c-df91ef085880	urn:uuid:109e7b90-0f7a-5dfc-81f0-f7f2ccfdc5be	urn:uuid:d752f61c-5ee6-4e60-9a8c-df91ef085880	NHMO	BI	NHMO-BI-64693/1-P	64693	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Female	Unknown	Preserved specimen	Existing	1889-08-26				Juva					Unknown	1889-08-26		Microcarbo pygmaeus (Pallas, 1773)	Suliformes	Phalacrocoracidae	Microcarbo	pygmaeus		species	(Pallas, 1773)	Dry	PreservedSpecimen		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13914533&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13914534&type=jpeg
23	urn:uuid:ec564dd2-7290-4dba-ab18-aee1e20bd50f	urn:uuid:10ebadf8-c1e3-534c-9deb-56c5f134cfbd	urn:uuid:ec564dd2-7290-4dba-ab18-aee1e20bd50f	NHMO	BI	NHMO-BI-40092/1-B	40092	Natural History Museum, University of Oslo, Norway	MaterialSample			Male	Unknown	Blood	Existing	27.07.2003	Norway	Telemark	Kragerø	Jomfruland fuglestasjon		58.881389	9.610556			27.07.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
24	urn:uuid:125485ed-5143-49cc-a252-14edaf0c1dcd	urn:uuid:10de68a4-903e-5e3f-a82a-7113c4c45720	urn:uuid:125485ed-5143-49cc-a252-14edaf0c1dcd	NHMO	BI	NHMO-BI-27902/1-B | NHMO-BI-27902/2-S	27902	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	Male	Adult	Blood	Existing	05.05.2011	Portugal	Madeira		Santana		32.786694	-16.89775		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	05.05.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96% | Formalin, w/PBS	Blood | Sperm sample						Tissue			
25	urn:uuid:b084f6ea-21db-4adb-94c3-5e02fcca110c	urn:uuid:10c1c6b4-f44c-5b04-a01a-8cc335276557	urn:uuid:b084f6ea-21db-4adb-94c3-5e02fcca110c	NHMO	BI	NHMO-BI-57717/1-P	57717	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Olstad, Ola	Unknown	Adult	Preserved specimen	Existing	08.01.1928	Antarctica			Robert oya, Deception, South Shetland Islands					Holgersen, Holger	08.01.1928		Leucocarbo bransfieldensis (Murphy, 1936)	Suliformes	Phalacrocoracidae	Leucocarbo	bransfieldensis		species	(Murphy, 1936)	Dry	PreservedSpecimen		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13900833&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13900834&type=jpeg
26	urn:uuid:6bb4a995-80ef-499b-9179-95523bef0f9e	urn:uuid:11106530-c2d6-507d-851b-69e1e9294b0c	urn:uuid:6bb4a995-80ef-499b-9179-95523bef0f9e	NHMO	BI	NHMO-BI-49329/1-P	49329	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location		Female	Unknown	Study skin	Existing	06.05.1909	Norway	Østfold	Fredrikstad							06.05.1909		Circus macrourus (Gmelin, SG, 1770)	Accipitriformes	Accipitridae	Circus	macrourus		species	(Gmelin, SG, 1770)	Dry	Study skin						Specimen			
27	urn:uuid:29c17b48-a64f-4f81-8ffa-92459befbb3b	urn:uuid:127e055e-b88a-5aef-bf46-00938dec11b9	urn:uuid:29c17b48-a64f-4f81-8ffa-92459befbb3b	NHMO	BI	NHMO-BI-27782/1-B | NHMO-BI-27782/2-D | NHMO-BI-27782/3-S	27782	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	Male	Adult	Blood	Existing	28.04.2011	Spain	Canarias	Santa Cruz de Tenerife	La Gomera, Garajonay		28.108472	-17.24175		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	28.04.2011		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% |  | Formalin, w/PBS	Blood | gDNA | Sperm sample	 | Omega EZNA kit, plate	 | Johannessen, Lars Erik	 | 2011-06-21		BONMA259-11	Tissue | DNA			
28	urn:uuid:9d25a285-01df-4d39-a09e-9d06c77b2cc8	urn:uuid:12c62d1f-8943-5a5b-9048-f6e7a7c35852	urn:uuid:9d25a285-01df-4d39-a09e-9d06c77b2cc8	NHMO	BI	NHMO-BI-62370/1-P	62370	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Unknown	Mounted	Existing		India								Unknown			Amandava amandava (Linnaeus, 1758)	Passeriformes	Estrildidae	Amandava	amandava		species	(Linnaeus, 1758)	Dry	Mounted		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209912&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209913&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209915&type=jpeg
29	urn:uuid:cb202ccd-c444-42e2-b8cb-d950c8b34216	urn:uuid:12ee8c4b-771d-5ac3-aca9-6f94ab74d3cd	urn:uuid:cb202ccd-c444-42e2-b8cb-d950c8b34216	NHMO	BI	NHMO-BI-59461/1-P	59461	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Unknown	Study skin	Existing		India								Unknown			Turnix sylvaticus (Desfontaines, 1789)	Charadriiformes	Turnicidae	Turnix	sylvaticus		species	(Desfontaines, 1789)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904585&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904586&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904587&type=jpeg
30	urn:uuid:174af5ec-69e3-479c-8b7f-2214b9735c73	urn:uuid:13104bd4-3f81-51b2-84fe-8b3dd6459b59	urn:uuid:174af5ec-69e3-479c-8b7f-2214b9735c73	NHMO	BI	NHMO-BI-57002/1-P	57002	Natural History Museum, University of Oslo, Norway	PreservedSpecimen			Male		Study skin	Existing	02.12.1995	Norway	Telemark	Skien	Gimsøy, Skien						02.12.1995		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Dry	Study skin						Specimen			
31	urn:uuid:f0040ea6-8671-47e0-acb6-9128612ed988	urn:uuid:1382a6fa-73c2-536a-8e52-e5ed82f665cd	urn:uuid:f0040ea6-8671-47e0-acb6-9128612ed988	NHMO	BI	NHMO-BI-39314/1-B	39314	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Male		Blood	Existing	01.03.1997	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	01.03.1997		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
32	urn:uuid:6975e967-fbc9-4b26-8896-e421ffabfc3a	urn:uuid:13a9c6d9-399f-5f49-875c-dcb3389ac8e9	urn:uuid:6975e967-fbc9-4b26-8896-e421ffabfc3a	NHMO	BI	NHMO-BI-25184/1-B | NHMO-BI-25184/2-D | NHMO-BI-25184/3-S	25184	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	Male	Adult	Blood	Existing	26.04.2010	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, El Rosario		28.425833	-16.384722		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	26.04.2010		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% |  | Formalin	Blood | gDNA | Sperm sample	 | Omega EZNA kit, plate	 | Johannessen, Lars Erik	 | 2011-06-21		BONMA147-11	Tissue | DNA			
33	urn:uuid:256955ca-654b-49d8-a885-8661fc9a9967	urn:uuid:14113bff-de17-5776-9f5c-fa8928f91f8e	urn:uuid:256955ca-654b-49d8-a885-8661fc9a9967	NHMO	BI	NHMO-BI-102463/1-P	102463	Natural History Museum, University of Oslo, Norway	PreservedSpecimen					Mounted	Existing		Africa (continent)			N. Africa						27.08.2019		Pluvianus aegyptius (Linnaeus, 1758)	Charadriiformes	Pluvianidae	Pluvianus	aegyptius		species	(Linnaeus, 1758)	Dry	Mounted						Specimen			
34	urn:uuid:476796ea-3672-400c-bb11-74ebe054184b	urn:uuid:14549645-accb-567e-87fd-e27aaec291c2	urn:uuid:476796ea-3672-400c-bb11-74ebe054184b	NHMO	BI	NHMO-BI-39233/1-B	39233	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Female		Blood	Existing	31.12.1995	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	31.12.1995		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
35	urn:uuid:ff62c15d-75ec-4315-abad-406d80fa43a4	urn:uuid:15b65f0f-4b16-5bf8-89d9-514219118b5e	urn:uuid:ff62c15d-75ec-4315-abad-406d80fa43a4	NHMO	BI	NHMO-BI-40117/1-B	40117	Natural History Museum, University of Oslo, Norway	MaterialSample		Røer, Jan Erik	Female		Blood	Existing	24.09.2003	Norway	Vest-Agder	Kvinesdal	ØYESTRANDA		58.283333	06.sep		Røer, Jan Erik	24.09.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
36	urn:uuid:46513b82-a5a7-413e-880f-cc259868ff92	urn:uuid:1745e86f-57be-54bc-8eca-4afe69628701	urn:uuid:46513b82-a5a7-413e-880f-cc259868ff92	NHMO	BI	NHMO-BI-66321/1-P	66321	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Female	Unknown	Study skin	Existing		India								Unknown			Ceryle rudis (Linnaeus, 1758)	Coraciiformes	Alcedinidae	Ceryle	rudis		species	(Linnaeus, 1758)	Dry	Study skin		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13917801&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13917802&type=jpeg
37	urn:uuid:81815bbc-7534-457a-871a-d0db7f22e45e	urn:uuid:17b63801-b61c-5a5a-833a-80a19e2c0cc9	urn:uuid:81815bbc-7534-457a-871a-d0db7f22e45e	NHMO	BI	NHMO-BI-59483/1-P	59483	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Unknown	Preserved specimen	Existing					Unknown					Unknown			Pterocles exustus Temminck, 1825	Pterocliformes	Pteroclidae	Pterocles	exustus		species	Temminck, 1825	Dry	PreservedSpecimen		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904651&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904652&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904653&type=jpeg
