basisOfRecord	catalogNumber	scientificName	institutionCode	collectionCode	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	identificationRemarks	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	habitat	associatedMedia	CreativeCommonsLicense	ArtObsID	relatedResourceID	coreid	musitModified	itemID	organismID	RelCatNo	RelCleanCatNo	rightsHolder	coremaBasisOfRecord	informationWithheld	preparations	materialSampleType	coremaModified	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	concentration	concentrationUnit	coremaRecordNumber	coremaRecordedBy	coremaEventDate	coremaCountry	coremaProvince	coremaCounty	coremaLocality	coremaElevation	coremaLat	coremaLong	coremaIdentificationRemarks	coremaTypeStatus	coremaIdentifiedBy	coremaDateIdentified	coremaScientificName	coremaGenus	coremaSpecificEpithet
Preserved specimen	22155	Russula	O	F	Pers.	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula			Katriina Bendiksen		2018-01-23				Jan Erik Eriksen, Bjørn Petter Løfall, Anne Molia	2014-09-18		Norway	Viken	Nesodden	Nesodden: Røer	10.6822	59.8136	100	Ca. 100 m		Rik edelløvskog på marin leire. Dominans av eik, men også hassel, lind mm. 	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13028943&type=jpeg | https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13532413&type=jpeg 	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:22155	urn:uuid:90d1841c-7876-43a6-9b37-2e20b37c1c77	2018-01-25	urn:uuid:90d1841c-7876-43a6-9b37-2e20b37c1c77	urn:uuid:65e4b108-62ad-586f-b6b1-d3a8cfa24bb8	O-DFL-447/2-D	447	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:30		gDNA					NOBAS1258-15				Anne Molia, Bjørn Petter Løfall, Jan Erik Eriksen	2014-09-18	Norway	Akershus	Nesodden	Nesodden: Røer		59.815	10.6806			Anne Molia	2014-09-18	Russula raoultii Quél.	Russula	raoultii
Preserved specimen	75649	Cortinarius venustus	O	F	P. Karst.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Katriina Bendiksen, Bálint Dima		2018-02-19				Hanne Edvardsen	2014-09-12		Norway	Oslo fylke	Oslo	Oslo: Godlia, Dølerud	10.8824	59.8356				Granskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13254575&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/	2363660	urn:catalog:O:F:75649	urn:uuid:e56749c4-d6e2-4792-92c2-b852c7d1c462	2018-02-28	urn:uuid:e56749c4-d6e2-4792-92c2-b852c7d1c462	urn:uuid:65e65665-8c42-5eac-8868-9320008d090e	O-DFL-232/3-D	232	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:27	Dry	gDNA		Canadian Centre for DNA barcod			NOBAS325-14				Hanne Edvardsen	2014-09-12	Norway	Oslo	Oslo	Oslo: Godlia, Dølerud		59.83556	10.88238			Tor Erik Brandrud	2014-09-12	Cortinarius venetus (Fr.: Fr.) Fr.	Cortinarius	venetus
Preserved specimen	75649	Cortinarius venustus	O	F	P. Karst.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Katriina Bendiksen, Bálint Dima		2018-02-19				Hanne Edvardsen	2014-09-12		Norway	Oslo fylke	Oslo	Oslo: Godlia, Dølerud	10.8824	59.8356				Granskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13254575&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/	2363660	urn:catalog:O:F:75649	urn:uuid:e8580e24-2ee5-4451-bc7d-45d3467bfa16	2018-02-28	urn:uuid:e8580e24-2ee5-4451-bc7d-45d3467bfa16	urn:uuid:65e65665-8c42-5eac-8868-9320008d090e	O-DFL-232/2-D	232	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:27		gDNA					NOBAS325-14				Hanne Edvardsen	2014-09-12	Norway	Oslo	Oslo	Oslo: Godlia, Dølerud		59.83556	10.88238			Tor Erik Brandrud	2014-09-12	Cortinarius venetus (Fr.: Fr.) Fr.	Cortinarius	venetus
Preserved specimen	245325	Tuber	O	F	P. Micheli ex F.H. Wigg. : Fr.	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber			Anne Molia		2012-09-11		AM-252-2012		Kokkos Hund, Viktoria Hund, Kristin Killingmo, Anne Molia	2012-09-11		Norway	Oslo fylke	Oslo	Oslo: Tøyen: Botanisk hage	10.7714	59.916	1			Hage på rik grunn. I parti med bøk (Fagus)				urn:catalog:O:F:245325	urn:uuid:008f6dcf-38ae-4e9e-9df6-2f83a01ae5cd	2014-05-05	urn:uuid:008f6dcf-38ae-4e9e-9df6-2f83a01ae5cd	urn:uuid:65f16eaa-051a-59b6-9e92-d2b9b970042d	O-DFL-14833/2-D	14833	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:41	Dry	gDNA	CCDB	CCDB			TRUFF057-13			AM-252-2012	Kokkos Hund, Viktoria Hund, Kristin Killingmo, Anne Molia	2012-09-11	Norway	Oslo	Oslo	Tøyen: Botanisk hage		59.916042	10.771365			Anne Molia	2012-09-11	Tuber sp.	Tuber	sp.
Preserved specimen	22220	Pholiotina nemoralis var. nemoralis	O	F		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Pholiotina			Øyvind Weholt		2012-05-18				Morten Pettersen	2012-05-18		Norway	Viken	Jevnaker	Olimb ved Østre Jevnaker 	10.5196	60.2646	200			Hogstplass	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14323143&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:22220	urn:uuid:51f27748-7067-4c29-88bb-e132f5d407cf	2019-12-11	urn:uuid:51f27748-7067-4c29-88bb-e132f5d407cf	urn:uuid:66280ee8-47e1-561c-a668-2a5a50de45ba	O-DFL-5965/2-D	5965	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:04:31		gDNA		CCDB			NOBAS3812-17				Morten Pettersen	2012-05-18	Norway	Oppland	Jevnaker	Olimb ved Østre Jevnaker		60.26464	10.51956			Øyvind Weholt	2012-05-18	Pholiotina nemoralis (Harmaja) Bon	Pholiotina	nemoralis
Preserved specimen	253842	Hydnellum	O	F	P. Karst.	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum			Egil Bendiksen		2016-09-20		EB 159/16		Egil Bendiksen	2016-09-20		Norway	Viken	Asker	Asker: Langemyr NE	10.4124	59.8184	1			Low herb Picea forest (NiN 2.1: T4-6), young spruces (cutting class 3), dominate, with scattered large pine trees, boreonemoral/southern boreal zone	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14323924&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:253842	urn:uuid:1f590cb7-befa-42cb-9b6c-15c781c5d29c	2018-12-11	urn:uuid:1f590cb7-befa-42cb-9b6c-15c781c5d29c	urn:uuid:666b5a64-faf2-5df1-bb9e-dc3fa3b18668	O-DFL-6715/2-D	6715	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:47		gDNA		CCDB			NOBAS4203-17			EB 159/16	Egil Bendiksen	2016-09-20	Norway	Akershus	Asker	Langemyr NE		59.818399	10.412422			Egil Bendiksen	2016-09-20	Hydnellum sp.	Hydnellum	sp.
Preserved specimen	304666	Entoloma	O	F	(Fr. : Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			John Bjarne Jordal		2016-09-13		JB16-1004		John Bjarne Jordal	2016-09-13		Norway	Vestland	Osterøy	Osterøy: Havrå	5.5785	60.4401	7			På marka i seminaturlig eng	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324403&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:304666	urn:uuid:0f5b55ca-1e46-4091-b96c-1999ea957df7	2017-11-20	urn:uuid:0f5b55ca-1e46-4091-b96c-1999ea957df7	urn:uuid:66c16762-9933-518f-8950-2a70a89cfd89	O-DFL-7075/2-D	7075	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:49		gDNA		CCDB			NOBAS4563-17			JB16-1004	John Bjarne Jordal	2016-09-13	Norway	Hordaland	Osterøy	Havrå		60.440092	5.578527			John Bjarne Jordal	2016-09-13	Entoloma sp.	Entoloma	sp.
Preserved specimen	249609	Russula	O	F	Pers.	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula			Per Marstad		2009-09-09		PM 233-09		Per Marstad	2009-09-09		Norway	Viken	Nesodden	Nesodden: Røer	10.6839	59.8118	71			Edelløvskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13255042&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/	2418916	urn:catalog:O:F:249609	urn:uuid:666186b5-3c33-4ee3-a640-191479713167	2016-12-15	urn:uuid:666186b5-3c33-4ee3-a640-191479713167	urn:uuid:66d3b466-c9a4-5a63-a760-e67c7e3549f6	O-DFL-1197/2-D	1197	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:58		gDNA					NOBAS947-15			PM 233-09	Per Marstad PM 233-09	2009-09-09	Norway	Akershus	Nesodden	Røer		59.811346	10.682981			Per Marstad	2009-09-09	Russula sp.	Russula	sp.
Preserved specimen	256451	Entoloma	O	F	(Fr. : Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Bálint Dima, Tor Erik Brandrud		2019-01-12		NMC2019-156		Tor Erik Brandrud	2019-09-06		Norway	Vestland	Stord	Stord: Agdestein	5.5276	59.8645				Low-herb oak forest	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15116133&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:256451	urn:uuid:4f40ff7f-9680-403a-bbf7-fd2026cfc9c1	2020-01-23	urn:uuid:4f40ff7f-9680-403a-bbf7-fd2026cfc9c1	urn:uuid:66eaa3b4-cc28-5d62-b497-5d68c0a158aa	O-DFL-14586/2-D	14586	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:56	Dry	gDNA		CCDB			NOBAS7616-19			NMC2019-156	Tor Erik Brandrud	2019-09-06	Norway	Hordaland	Tysnes	Agdestein		59.864506	5.527615	cf.		Tor Erik Brandrud	2019-09-06	Entoloma noordeloosii Hauskn.	Entoloma	noordeloosii
Preserved specimen	304770	Entoloma	O	F	(Fr. : Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Egil Bendiksen		1998-09-12		EB 307/98		Egil Bendiksen	1998-09-12		Norway	Viken	Lunner	Lunner: Øståsen, Morstadsetra	10.7446	60.2906	71	430 m		Old summer dairy, pastured by cows and sheep, syenite, oligotrophic spruce forests near by, middle boreal zone	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324419&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:304770	urn:uuid:671157d7-9102-4dcd-b544-b16a59805e85	2017-11-22	urn:uuid:671157d7-9102-4dcd-b544-b16a59805e85	urn:uuid:66fd2211-d834-5ab1-97f6-b393a4f92857	O-DFL-7203/2-D	7203	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:49		gDNA		CCDB			NOBAS4691-17			EB 307/98	Egil Bendiksen	1998-09-12	Norway	Oppland	Lunner	Øståsen, Morstadsetra	430	60.290155	10.743717			Egil Bendiksen	1998-09-12	Entoloma sp.	Entoloma	sp.
Preserved specimen	252298	Hydnocristella himantia	O	F	(Schwein. : Fr.) R.H. Petersen	Fungi	Basidiomycota	Agaricomycetes	Gomphales	Lentariaceae	Kavinia			John Bjarne Jordal						John Bjarne Jordal	2011-10-18		Norway	Møre og Romsdal	Gjemnes	Gjemnes: Åndal	7.5629	62.8568	1	179 m		På styva alm	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14323275&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:252298	urn:uuid:6208f84b-da57-429a-975d-893d8c03121e	2016-08-23	urn:uuid:6208f84b-da57-429a-975d-893d8c03121e	urn:uuid:6716d8c0-5983-5932-b887-097ecc571cb9	O-DFL-4996/2-D	4996	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:05		gDNA		CCDB							John Bjarne Jordal	2011-10-18	Norway	Møre og Romsdal	Gjemnes	Åndal	179	62.856756	7.562856			John Bjarne Jordal	2011-10-18	Kavinia himantia (Schwein.) J.Erikss.	Kavinia	himantia
