basisOfRecord	catalogNumber	scientificName	institutionCode	collectionCode	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	identificationRemarks	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	habitat	associatedMedia	CreativeCommonsLicense	ArtObsID	relatedResourceID	coreid	musitModified	itemID	organismID	RelCatNo	RelCleanCatNo	rightsHolder	coremaBasisOfRecord	informationWithheld	preparations	materialSampleType	coremaModified	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	concentration	concentrationUnit	coremaRecordNumber	coremaRecordedBy	coremaEventDate	coremaCountry	coremaProvince	coremaCounty	coremaLocality	coremaElevation	coremaLat	coremaLong	coremaIdentificationRemarks	coremaTypeStatus	coremaIdentifiedBy	coremaDateIdentified	coremaScientificName	coremaGenus	coremaSpecificEpithet
Preserved specimen	76200	Typhula	O	F	Fr.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae	Typhula			Kåre Homble				L 214/17		Kåre Homble, Siv Moen, Siri Faafeng	2017-10-04		Norway	Viken	Lillestrøm	Skedsmo: Lahaug	10.9646	59.9699	1			På basis av Matteuccia struthiopteris, i gråor-askeskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14968884&type=jpeg | https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115944&type=jpeg 	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:76200	urn:uuid:3ac39307-4fa9-45c5-9cde-7ab97b9d8823	2020-01-07	urn:uuid:3ac39307-4fa9-45c5-9cde-7ab97b9d8823	urn:uuid:004202ca-fc20-547d-92f3-c76cfe897619	O-DFL-12373/2-D	12373	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:04:33	Dry	gDNA		CCDB			NOBAS7416-19			L 214/17	Kåre Homble, Siri Faafeng, Siv Moen	2017-10-04	Norway	Akershus	Skedsmo	Lahaug		59.969927	10.964554			Kåre Homble	2017-10-04	Typhula sp.	Typhula	sp.
Preserved specimen	75164	Russula crassipes	O	F	Ruots. & Vauras ined.	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula			Anne-Mieke Verbeken, Jorinde Nuytinck		2018-12-13				Anne Molia	2014-08-19		Norway	Viken	Lunner	Lunner: S. Oppdalen, Mørkomdalen	10.6896	60.2915	83	440-455 m		Southern/middle boreal low herb Picea forest (hogstkl. 3), grazed by cows and sheep	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13215624&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:75164	urn:uuid:0f1a834b-821c-447d-83d6-8d8f171c494f	2021-09-30	urn:uuid:0f1a834b-821c-447d-83d6-8d8f171c494f	urn:uuid:0063fa15-a6cc-5ad0-8a10-6974c4f067fa	O-DFL-604/2-D	604	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:32		gDNA					NOBAS044-14				Anne Molia	2014-08-19	Norway	Oppland	Lunner	Lunner: S. Oppdalen, Mørkomdalen	440					Anne Molia	2014-08-19	Russula queletii Fr.	Russula	queletii
Preserved specimen	75164	Russula crassipes	O	F	Ruots. & Vauras ined.	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula			Anne-Mieke Verbeken, Jorinde Nuytinck		2018-12-13				Anne Molia	2014-08-19		Norway	Viken	Lunner	Lunner: S. Oppdalen, Mørkomdalen	10.6896	60.2915	83	440-455 m		Southern/middle boreal low herb Picea forest (hogstkl. 3), grazed by cows and sheep	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13215624&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:75164	urn:uuid:e0ee3d5f-79b6-4cde-9ff7-b52641b6fcc4	2021-09-30	urn:uuid:e0ee3d5f-79b6-4cde-9ff7-b52641b6fcc4	urn:uuid:0063fa15-a6cc-5ad0-8a10-6974c4f067fa	O-DFL-604/3-D	604	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:32	Dry	gDNA		Canadian Centre for DNA barcod			NOBAS044-14				Anne Molia	2014-08-19	Norway	Oppland	Lunner	Lunner: S. Oppdalen, Mørkomdalen	440					Anne Molia	2014-08-19	Russula queletii Fr.	Russula	queletii
Preserved specimen	256401	Neoboletus praestigiator	O	F	(R. Schulz) Svetash., Gelardi, Simonini & Vizzini	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus			Thomas Læssøe, Jens H. Petersen, Preben Graae Sørensen, Dorte Hammelev		2019-09-05		NMC2019-106		Thomas Læssøe, Jens H. Petersen, Preben Graae Sørensen, Dorte Hammelev	2019-09-05		Norway	Vestland	Stord	Stord: Stuvasetraåsen	5.4374	59.8067	1000			Picea, Corylus, Betula, rich soil, associated with Bol. edulis, Calob. calopus, Iml. badia, Xer. ferrugineus	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15116085&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:256401	urn:uuid:be674594-21ee-471f-9ead-98906d3f32d9	2020-01-24	urn:uuid:be674594-21ee-471f-9ead-98906d3f32d9	urn:uuid:007ad854-271d-5155-b9c9-9b3fe93d84e9	O-DFL-14644/2-D	14644	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:56	Dry	gDNA		CCDB			NOBAS7674-19			NMC2019-106	Thomas Læssøe, Jens H. Petersen, Preben Graae Sørensen, Dorte Hammelev	2019-09-05	Norway	Hordaland	Stord	Stuvasetraåsen		59.806736	5.437358			Thomas Læssøe, Jens H. Petersen, Preben Graae Sørensen, Dorte Hammelev	2019-09-05	Boletus luridiformis Rostk.	Boletus	luridiformis
Preserved specimen	254040	Hebeloma pseudofragilipes	O	F	Beker, Vesterh. & U. Eberh.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma			Henry J. Beker, Ursula Eberhardt		2021		EB 667/11		Ilkka Kytövuori, Egil Bendiksen	2011-09-06		Norway	Oslo fylke	Oslo	Oslo: Bygdøy: Dronningberget	10.6829	59.9145	1			Calcareous Tilia-Corylus forest (kalklindeskog)	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324139&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:254040	urn:uuid:69638490-7b2d-4dc3-9beb-3ee4f6471705	2021-06-10	urn:uuid:69638490-7b2d-4dc3-9beb-3ee4f6471705	urn:uuid:0092e769-3a67-5ccb-9ab5-a71c497fadcc	O-DFL-7207/2-D	7207	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:50		gDNA		CCDB			NOBAS4695-17			EB 667/11	Ilkka Kytövuori,  Egil Bendiksen	2011-09-06	Norway	Oslo	Oslo	Bygdøy, Dronningberget		59.914452	10.682922	cf.		Egil Bendiksen	2011-09-06	Hebeloma sacchariolens Quél.	Hebeloma	sacchariolens
Preserved specimen	248270	Cortinarius brunneifolius	O	F	Kytöv., Niskanen & Liimat.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Karl-Henrik Larsson, Bálint Dima		2015				Egil Bendiksen	2014-09-30		Norway	Innlandet	Gran	Gran: Marifjell NR	10.9088	60.3352	10			Deserted mossgrown anthill (Hyloc., Pleuroz.,Dicranum) in middle boreal, oligotr. pine forest	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13254816&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:248270	urn:uuid:a94430f8-ac44-437f-a493-b7ba95a3a7d4	2017-03-03	urn:uuid:a94430f8-ac44-437f-a493-b7ba95a3a7d4	urn:uuid:0095ddaa-4a0d-5bd7-973a-a1360cddfc35	O-DFL-1025/2-D	1025	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:36		gDNA					NOBAS748-15				Egil Bendiksen	2014-09-30	Norway	Oppland	Gran	Gran: Marifjell NR		60.335199	10.908807			Egil Bendiksen	2014-09-30	Cortinarius badiovinaceus M.M.Moser	Cortinarius	badiovinaceus
Preserved specimen	252870	Imleria badia	O	F	(Fr. : Fr.) Vizzini	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomus			Egil Bendiksen				EB 201/09		Egil Bendiksen	2009-09-12		Norway	Trøndelag	Rindal	Rindal: Svorka E/Almbergliene	9.1374	63.0472	71	250-300 m		Picea plantation, cutting class 3, mostly needle bed, with sparse Oxalis etc., southern boreal zone	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14323045&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:252870	urn:uuid:ea9f5c72-94cc-4301-b726-9b27bbf5ab6f	2016-08-17	urn:uuid:ea9f5c72-94cc-4301-b726-9b27bbf5ab6f	urn:uuid:00c1f5a8-8c19-5e04-be9c-349972baa344	O-DFL-4806/2-D	4806	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:03		gDNA		CCDB						EB 201/09	Egil Bendiksen	2009-09-12	Norway	Møre og Romsdal	Rindal	Svorka E/Almbergliene	250	63.046702	9.13644			Egil Bendiksen	2009-09-12	Xerocomus badius (Fr.: Fr.) E.-J.Gilbert	Xerocomus	badius
Preserved specimen	254529	Hebeloma	O	F	(Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma							EB 431/17		Egil Bendiksen	2017-09-27		Norway	Innlandet	Sel	Sel, Heidal, Rustmoen, sandy terrace by River Sjoa	9.1768	61.7043	5			Oligotrophic sandy pine forest, middle boreal zone	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115340&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:254529	urn:uuid:b4ac0c43-ecb8-4691-8c91-065fb0f33946	2018-03-09	urn:uuid:b4ac0c43-ecb8-4691-8c91-065fb0f33946	urn:uuid:00cd70d5-bddc-564e-a6fa-d8ef3c792a03	O-DFL-9511/2-D	9511	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:54	Dry	gDNA		CCDB			NOBAS5869-18			EB 431/17	Egil Bendiksen	2017-09-27	Norway	Oppland	Sel	Heidal, Rustmoen, sandy terrace by River Sjoa		61.704297	9.176801			Egil Bendiksen	2017-09-27	Hebeloma sp.	Hebeloma	sp.
Preserved specimen	248998	Conocybe sulcatipes	O	F	(Peck) Kühner	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Pholiotina			Karl-Henrik Larsson		2015-05-12		TEB 28-13		Tor Erik Brandrud	2013-06-27		Norway	Viken	Jevnaker	Jevnaker: Mosmoen-Randselva ved Bergerfoss	10.378	60.2259	7			rik sandfuru(-gran)skog (lågurtskog); grov furu, i gammelt veispor langs jernbanen	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13255903&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:248998	urn:uuid:b580b3db-2432-45e3-8a7c-804da52f444c	2017-01-19	urn:uuid:b580b3db-2432-45e3-8a7c-804da52f444c	urn:uuid:00e4a0b5-aa33-53de-ae7c-8edc110e30f7	O-DFL-2083/2-D	2083	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:39		gDNA					NOBAS1357-15			TEB 28-13	Tor Erik Brandrud TEB 28-13	2013-06-27	Norway	Oppland	Jevnaker	Mosmoen-Randselva ved Bergerfoss		60.225843	10.377938			Tor Erik Brandrud	2013-06-27	Pholiotina filipes (G.F.Atk.) Singer	Pholiotina	filipes
Preserved specimen	254390	Entoloma	O	F	(Fr. : Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma							Jor 93-279		John Bjarne Jordal	1993-10-04		Norway	Møre og Romsdal	Ålesund	Haram: Haramsøya, Ulla fyr	6.1681	62.6857	100	5 m		Strandberg, litt naturbeitemark og hei, sauebeite; på marka	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115178&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:254390	urn:uuid:017389a0-a051-4496-8e03-0e0034bfa0a7	2018-12-04	urn:uuid:017389a0-a051-4496-8e03-0e0034bfa0a7	urn:uuid:00f1c015-3576-559f-a1f4-6eab836153be	O-DFL-9337/2-D	9337	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:53	Dry	gDNA		CCDB			NOBAS5695-18			Jor 93-279	John Bjarne Jordal	1993-10-04	Norway	Møre og Romsdal	Haram	Haramsøya, Ulla fyr	5	62.685652	6.168081			John Bjarne Jordal	1993-10-04	Entoloma sp.	Entoloma	sp.
Preserved specimen	258043	Ramaria subtilis	O	F	s. auct. nord.	Fungi	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Ramaria			Mika Toivonen		2022-10-25		7609		Geir Gaarder, Sylvelin Tellnes	2018-09-18		Norway	Innlandet	Alvdal	Alvdal: Djupdalen vest	10.4622	62.1936	10			Tørr kalkrik sandfuruskog - på rygg	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15468126&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:258043	urn:uuid:e970404b-b6b6-4823-9550-7c4a269d90b9	2022-10-26	urn:uuid:e970404b-b6b6-4823-9550-7c4a269d90b9	urn:uuid:0106d996-d322-5938-84c6-3128594dadcd	O-DFL-16372/2-D	16372	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:04:36	Dry	gDNA		CCDB			NOBAS8381-21				Geir Gaarder, Sylvelin Tellnes	2018-09-18	Norway	Innlandet	Alvdal	Djupdalen vest		62.193603	10.462239			Geir Gaarder	2018-09-18	Ramaria gypsea Schild	Ramaria	gypsea
Preserved specimen	75282	Amanita regalis	O	F	(Fr.) Michael	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita			Karl-Henrik Larsson		2015				Egil Bendiksen, Katriina Bendiksen	2014-08-19		Norway	Viken	Lunner	Lunner: S. Oppdalen, Mørkomdalen, Jørstadløkka	10.6923	60.2932	10	465 m		Southern/middle boreal low herb Picea forest (hogstkl. 3), grazed by cows and sheep	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13214087&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:75282	urn:uuid:9b1aea0a-b3da-4e51-8744-fce0865496e8	2017-02-01	urn:uuid:9b1aea0a-b3da-4e51-8744-fce0865496e8	urn:uuid:0119ec94-5ceb-5a36-aa29-a8ab3f3ec9eb	O-DFL-722/2-D	722	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:33		gDNA					NOBAS542-15				Egil Bendiksen, Katriina Bendiksen	2014-08-19	Norway	Oppland	Lunner	Lunner: S. Oppdalen, Mørkomdalen, Jørstadløkka	465	60.293172	10.69235			Egil Bendiksen, Katriina Bendiksen	2014-08-19	Amanita muscaria (L.: Fr.) Lam.	Amanita	muscaria
Preserved specimen	21221	Hymenogaster	O	F	Vittad.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hymenogaster			Tor Erik Brandrud		2011-05-23		TEB-5-11		Tor Erik Brandrud	2011-05-23		Norway	Vestfold og Telemark	Porsgrunn	Porsgrunn: Hitterød V (Strykejernet), på kanten mot Frierfjorden	9.648	59.075	10			Tørr, grunnlendt, skrånende hylle med kalklindeskog, under relativt unge lindestammer (gammelt lindeindivid). Delvis i overflaten, delvis gravd fram av TEB				urn:catalog:O:F:21221	urn:uuid:63d60eeb-2ccb-42cc-a3f9-c94af936d584	2013-09-30	urn:uuid:63d60eeb-2ccb-42cc-a3f9-c94af936d584	urn:uuid:014dc769-2e4e-5c3a-88fc-93c22874f4ef	O-DFL-14968/1-D	14968	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:44	Buffer	gDNA	Qiagen Plant Mini Kit	Audun Schrøder-Nilsen	2012-03-08					TEB-5-11	Tor Erik Brandrud	2011-05-23	Norway	Telemark	Porsgrunn	Hitterød V (Strykejernet), på kanten mot Frierfjorden		59.075049	9.647971			Tor Erik Brandrud	2011-05-23	Hymenogaster sp.	Hymenogaster	sp.
Preserved specimen	254422	Entoloma clandestinum	O	F	(Fr. : Fr.) Noordel.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Bálint Dima		2019-02-01		Jor 94-148		Geir Gaarder	1994-08-25		Norway	Trøndelag	Midtre Gauldal	Midtre Gauldal: Budalen, Bogøyensetra 53/15; Skarpmoen, utafor rute E6	10.6502	62.7452	50	670 m		Setervoll med naturbeitemark gjengroende setervoll, gjengrodd siden 50-tallet; på marka	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115211&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:254422	urn:uuid:2fc265bb-969c-4119-9831-ef479b3802a2	2020-02-18	urn:uuid:2fc265bb-969c-4119-9831-ef479b3802a2	urn:uuid:01809bda-3862-55c2-846c-d8ccc4a1a158	O-DFL-9381/2-D	9381	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:53	Dry	gDNA		CCDB			NOBAS5739-18			Jor 94-148	Geir Gaarder	1994-08-25	Norway	Sør-Trøndelag	Midtre Gauldal	Budalen, Bogøyensetra 53/15; Skarpmoen, utafor rute E6	670	62.745235	10.650226			Geir Gaarder	1994-08-25	Entoloma sp.	Entoloma	sp.
Preserved specimen	260128	Lycoperdon	O	F	Pers.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon			Sten Svantesson		2015-08-10				Sten Svantesson	2015-08-10		Norway	Svalbard	Nordenskiöld Land	Endalen	15.7592	78.1833				Rik reinrosehei med foruten reinrose: polarvier, harerug med mer.	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14321345&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:260128	urn:uuid:70072ab4-6c0c-4380-b230-6f5f9bc9c50e	2016-09-14	urn:uuid:70072ab4-6c0c-4380-b230-6f5f9bc9c50e	urn:uuid:01f6fb88-527a-5673-8c25-2b4f6bf3c2fb	O-DFL-3440/2-D	3440	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:43		gDNA		CCDB			NOBAS2152-16				Sten Svantesson	2015-08-10	Norway	Svalbard	Nordenskiöld Land	Endalen		78.18333	15.75917			Sten Svantesson	2015-08-10	Lycoperdon sp.	Lycoperdon	sp.
Preserved specimen	303923	Gliophorus laetus	O	F	(Pers. : Fr.) Herink	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe			Kari Blikra		2013-11-16				Kari Blikra	2013-11-16		Norway	Rogaland	Stavanger	Rennesøy: Føløyvarden	5.5777	59.0874	5			Beitemark	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14323105&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/	2415544	urn:catalog:O:F:303923	urn:uuid:5d7b1ada-cfb9-4041-9792-7cba797244dd	2016-06-22	urn:uuid:5d7b1ada-cfb9-4041-9792-7cba797244dd	urn:uuid:020f687d-9e4b-5590-a0c7-9046095d1154	O-DFL-4742/2-D	4742	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:03		gDNA		CCDB							Kari Blikra	2013-11-16	Norway	Rogaland	Rennesøy	Føløyvarden		59.087396	5.577621			Kari Blikra	2013-11-16	Hygrocybe laeta (Pers.: Fr.) P.Kumm.	Hygrocybe	laeta
Preserved specimen	260289	Rhizopogon	O	F	Fr.	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon			Anne Molia		2015-09-12		HST15-346		Inger-Lise Walter	2015-09-12		Norway	Innlandet	Elverum	Svartholtet	11.5841	60.8755	7			Furu - blåbær. Stikant	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14321076&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:260289	urn:uuid:aa1427bb-0a71-4b50-baed-d3437771b682	2021-01-29	urn:uuid:aa1427bb-0a71-4b50-baed-d3437771b682	urn:uuid:021e8dd0-0f6a-591c-8b79-4cdb8ef43b4e	O-DFL-3521/2-D	3521	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:42		gDNA		CCDB			NOBAS1931-16			HST15-346	Inger-Lise Walter	2015-09-12	Norway	Hedmark	Elverum	Svartholtet		60.875463	11.584007			Anne Molia	2015-09-12	Rhizopogon sp.	Rhizopogon	sp.
Preserved specimen	291193	Entoloma asprellum	O	F	(Fr. : Fr.) Fayod	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			John Bjarne Jordal	aff.					Harald Bratli, John Bjarne Jordal	2009-08-29		Norway	Trøndelag	Levanger	Levanger: Hellum	10.9814	63.6022	1			Baserik naturbeitemark ved grunnlendte tørrberg	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14321558&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:291193	urn:uuid:fac7f3e9-dfb6-4a0b-84fa-ebafeecff463	2019-04-10	urn:uuid:fac7f3e9-dfb6-4a0b-84fa-ebafeecff463	urn:uuid:0248340e-a5ee-5d1e-b669-fe2f34450250	O-DFL-3323/2-D	3323	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:44		gDNA		CCDB			NOBAS2268-16				Harald Bratli, John Bjarne Jordal	2009-08-29	Norway	Nord-Trøndelag	Levanger	Levanger: Hellum		63.600623	10.981187			John Bjarne Jordal	2009-08-29	Entoloma pseudocoelestinum Arnolds	Entoloma	pseudocoelestinum
Preserved specimen	21620	Subulicystidium perlongisporum	O	F	Boidin & Gilles	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium			Thomas Læssøe, Anne Molia	cf.	2013-08-12		AM-68j-2013		Thomas Læssøe, Anne Molia	2013-08-12		Norway	Viken	Bærum	Bærum: Høvik, Holtekilen. Sarbuvollen Ø.	10.5885	59.8967	10			Åpen, grunnlendt kalkmark. På urt	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14321784&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:21620	urn:uuid:3d311ec1-ade4-423a-9e94-ef467a9d3ecc	2016-09-15	urn:uuid:3d311ec1-ade4-423a-9e94-ef467a9d3ecc	urn:uuid:02945119-bada-50fb-b459-b47966592e07	O-DFL-4078/2-D	4078	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:54		gDNA		CCDB						AM-68j-2013	Anne Molia, Thomas Læssøe	2013-08-12	Norway	Akershus	Bærum	Høvik, Holtekilen. Sarbuvollen Ø.		59.896745	10.588515	cf.		Anne Molia, Thomas Læssøe	2013-08-12	Subulicystidium sp.	Subulicystidium	sp.
Preserved specimen	249600	Russula vinososordida	O	F	Ruots. & Vauras	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula			Jorinde Nuytinck, Anne-Mieke Verbeken		2018-12-13		PM 177-08		Per Marstad, Turid Nakling Kristiansen	2008-08-28		Norway	Troms og Finnmark	Lebesby	Lebesby: Oksevågdalen NR	27.4501	70.9412	7			Høgstaudebjørkeskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13255029&type=jpeg | https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13255030&type=jpeg 	https://creativecommons.org/licenses/by-sa/4.0/	11545473	urn:catalog:O:F:249600	urn:uuid:8963069c-4671-4df5-a165-41e99a0adb8e	2022-08-30	urn:uuid:8963069c-4671-4df5-a165-41e99a0adb8e	urn:uuid:02acdc7c-704b-555c-a45a-523c8b763b66	O-DFL-1188/2-D	1188	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:58		gDNA					NOBAS938-15			PM 177-08	Per Marstad PM 177-08, Turid N. Kristiansen	2008-08-28	Norway	Finnmark	Lebesby	Oksevågdalen NR		70.941113	27.449999	cf.		Per Marstad	2008-08-28	Russula pubescens A.Blytt	Russula	pubescens
Preserved specimen	249134	Cortinarius cinnamoviolaceus	O	F	M.M. Moser	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Tor Erik Brandrud		2013-08-12		TEB 218-13		Tor Erik Brandrud	2013-08-12		Norway	Trøndelag	Levanger	Levanger: Ytterøya, Røvik SV	11.0334	63.7629	7			yngre, moserik lågurtgranskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13256033&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:249134	urn:uuid:7096e6ad-c8d5-41e8-8769-8b9498d63918	2017-01-11	urn:uuid:7096e6ad-c8d5-41e8-8769-8b9498d63918	urn:uuid:02e9bf05-572f-5a56-9efb-34dbeaa465ae	O-DFL-1287/2-D	1287	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:38	Buffer	gDNA	Omega EZNA kit, single tube	Lisbeth Thorbek	2014-12-17		NOBAS1037-15			TEB 218-13	Tor Erik Brandrud TEB 218-13	2013-08-12	Norway	Nord-Trøndelag	Levanger	Ytterøya, Røvik SV		63.762809	11.03325			Tor Erik Brandrud	2013-08-12	Cortinarius imbutus Fr.	Cortinarius	imbutus
Preserved specimen	292336	Phaeoclavulina macrospora	O	F	Brinkmann	Fungi	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Ramaria			Mika Toivonen		2018-06-07		231-2010		Anne Molia, Mikael Jeppson, Anders K. Wollan	2010-09-20		Norway	Oslo fylke	Oslo	Oslo: Gressholmen	10.7197	59.8832	71	Ca. 10 m		Kalkrikt. Tidligere beitemark i gjengroing. Lauvtrær	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115023&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:292336	urn:uuid:9d802723-af98-45b2-965a-a20b17e626c3	2018-06-13	urn:uuid:9d802723-af98-45b2-965a-a20b17e626c3	urn:uuid:02f58bac-ab93-5bba-8b7a-44204e7ddbc6	O-DFL-9289/2-D	9289	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:53	Dry	gDNA		CCDB			NOBAS5647-18			231-2010	Anne Molia, Mikael Jeppson, Anders K. Wollan	2010-09-20	Norway	Oslo	Oslo	Gressholmen	10	59.882219	10.720428			Katriina Bendiksen	2010-09-20	Ramaria broomei (Cotton & Wakef.) R.H.Petersen	Ramaria	broomei
