JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
B620	B	620		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Bj�rn�ya, Barentshavet		�sthavet, antagelig omkr. Bj�rn�ya	322?		?	?	-	?	?	=	?							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Gil, Marta		"P� etikett i glasset: "" �sthavet; sannsynl. st.322"". I journalen: ""�sthavet, antagelig omkr. Bj�rn�ya"". Iflg Gil 2021 inneholder pr�ven 11 ulike arter: Campanularia groenlandica, Campanularia volubilis, Diphasia fallax, Filellum serpens, Grammaria abietin"																																																																
B621	B	621		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Norden		St.?			?	?	-	?	?	=	?							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Gil, Marta		Iflg. Gil 2021 inneholder pr�ven 6 ulike arter: Calycella syringa, Halecium muricatum, Lafoea elegantula, Filellum serpens, Campanularia volubilis og Coryne muscoides																																																																
B566	B	566		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Norsk�yene		Norsk�ene			?	?	-	?	?	=	3							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Gil, Marta		"P� krtkort: ""Voksede p� Lafoea fruticosa "" Gil 2021: Det er fem arter i pr�ven: Lafoea elegantula, Filellum serpens, Halecium tenellum, Lafoea fruticosa og Gonothyraea loveni."																																																																
B187	B	187		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Split		Bank S. von Luksic			10.04.1931	10.04.1931	-	15	20	=	1				Steinbunn med Cladocora sp. og alger				Ethanol		Broch, Hj.	Gil, Marta		B186 Bougainvillia ramosa, og B187 Filellum serpens ligger i samme tube.																																																																
B99	B	99		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Split		Kasun			05.01.1932	05.01.1932	-	4	4	=	1				Cystoseira sp.				Ethanol		Broch, Hj.	Gil, Marta		"I journal: ""Cystosira"", som antas � skulle v�re Cystoseira. Iflg. Marta Gil 2021 er det to arter i pr�ven, Filellum serpens og Campanularia hincksii."																																																																
B100	B	100		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Split		S�dseite von Ciovo 			14.05.1931	14.05.1931	-	4	45	=	1				Sand og Stein				Ethanol		Broch, Hj.	Gil, Marta		"P� original etikett: ""Auf Halecium halecium (Lin.)"". Iflg. Marta Gil 2021 er det to arter i pr�ven, Filellum serpens og Halecium halecinum. B100 ble i 2022 registrert i el.journalen og i databasen som to separate pr�ver; Filellum serpens og Halecium halec"																																																																
B98	B	98		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Split		S�d�stliche Bank SSW von Stobrec 			11.11.1931	11.11.1931	-	13	17	=	1				Stein med Vidalia sp.				Ethanol		Broch, Hj.	Gil, Marta		Marta Gil 2021: Det er to arter i pr�ven, Filellum serpens og Antennella secundaria.																																																																
B214	B	214		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Split		Vor Prizidnice (Ciovo)			03.12.1931	03.12.1931	-	40	50	=	?				Cystoseira sp., p� stein				Ethanol		Broch, Hj.	Gil, Marta		"I journalen: ""An Cystosira (auf steinen) (Parengal)"". ""Cystosira"" antas � skulle v�re Cystoseira.  B213 Campanularia hincksii og B214 Filellum serpens ligger i samme tube.  Iflg. Gil 2021 er det ogs� Lafoea sp. i pr�ven"																																																																
B1944	B	1944		Cnidaria	Hydrozoa	Hydroida	Lafoeidae	Filellum serpens	(Hassall)		Vard�		Vard�			?	?	-	?	?	=	?								Ethanol		Anonym	Gil, Marta		Gil, 2021: Pr�ven inneholder Lafoea elegantula, Campanularia volubilis, Campanularia groenlandica, Filellum serpens. 																																																																
