JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
H307	H	307		Chordata	Tunicata	Ascidiacea	Cionidae	Ciona gelatinosa	Bonnevie		Claveringfjorden		Claveringfjorden	1043		27.07.1930	27.07.1930	-	70	70	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus			
H378	H	378		Chordata	Tunicata	Ascidiacea	Cionidae	Ciona gelatinosa	Bonnevie		Geologfjord		Geologfjorden	609		11.08.1932	11.08.1932	-	625	650	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus			
H320	H	320		Chordata	Tunicata	Ascidiacea	Cionidae	Ciona gelatinosa	Bonnevie		Kong Oscars fjord		K.Oscars fjord	1101		12.08.1930	12.08.1930	-	55	100	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus			
H315	H	315		Chordata	Tunicata	Ascidiacea	Cionidae	Ciona gelatinosa	Bonnevie		Vegasund		Vegasund	1116		15.08.1930	15.08.1930	-	250	250	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus			JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
B948	B	948		Cnidaria	Anthozoa	Alcyonaria	Cornulariidae	Cornularia cornucopiae	(Pallas)		Kasuni		Kasun			05.01.1932	05.01.1932	-	0	1	=	?				Steinblokk, underside				Ethanol		Broch, Hj.	Broch, Hjalmar			
B950	B	950		Cnidaria	Anthozoa	Alcyonaria	Cornulariidae	Cornularia cornucopiae	(Pallas)		Kasuni	Mellom Kasuni og Dujmoraca	Zwichen Kasun und Dujmoraca.			04.11.1931	04.11.1931	-	0	1	=	?				Steinblokk, underside				Ethanol		Broch, Hj.	Broch, Hjalmar			
B949	B	949		Cnidaria	Anthozoa	Alcyonaria	Cornulariidae	Cornularia cornucopiae	(Pallas)		Split		am ufer bei Pension Split			03.11.1931	03.11.1931	-	0	1	=	?				Stein, underside				Ethanol		Broch, Hj.	Broch, Hjalmar			
B947	B	947		Cnidaria	Anthozoa	Alcyonaria	Cornulariidae	Cornularia cornucopiae	(Pallas)		Split		Bucht bei Pension Split			05.10.1931	05.10.1931	-	0	1	=	?								Ethanol		Broch, Hj.	Broch, Hjalmar		"I journal: ""Bucht d. Pens. Split- ""Zwichen Fuser und Kasium""."	
B951	B	951		Cnidaria	Anthozoa	Alcyonaria	Cornulariidae	Cornularia cornucopiae	(Pallas)		Split		�stlich der M�ndung der Bucht vor Pension Split..			01.11.1931	01.11.1931	-	?	?	=	?				Stein, underside				Ethanol		Broch, Hj.	Broch, Hjalmar			
B952	B	952		Cnidaria	Anthozoa	Alcyonaria	Cornulariidae	Cornularia cornucopiae	(Pallas)		Vranjic		"Kleine felseninsel bei ""kl. Seille"" nahe  Vranic"			19.09.1931	19.09.1931	-	?	?	=	?								Ethanol		Broch, Hj.	Broch, Hjalmar			
