species	number	order	family	collDate	country
Polycarpa fibrosa	5	Ascidiacea	Styelidae	03.08.1932,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,15.08.1932,25.08.1935	Nathorstfjorden,Norskehavet,Norskehavet,Tyrolerfjorden,Vigrafjorden
Polymastia uberrima	8		Polymastiidae	09.08.1932,30.07.1901,05.08.1901,?,?,?,###############################################################################################################################################################################################################################################################,?	Bontekoe�ya,Geitaneset,Geitaneset,Kvits�y,Manger,Norden,Norskehavet,Troms�
Poraniomorpha tumida	10		Poraniidae	11.08.1931,20.08.1931,12.08.1932,31.07.1932,17.08.1931,04.08.1932,###############################################################################################################################################################################################################################################################,15.08.1932,15.08.1932,17.08.1930	Claveringfjorden,Dusenfjorden,Frans Josefs fjord,Holmbukta, Kong Oscars fjord,Kapp Petersen, Frans Josefs Fjord,Nathorstfjorden,Norskehavet,Tyrolerfjorden,Tyrolerfjorden,Vegasund
Psolus fabricii	6		Psolidae	25.07.1900,21.07.1900,23.07.1900,04.08.1900,30.07.1900,01.08.1900	Nunavut,Nunavut,Nunavut,Sj�p�lse Ness,Stordalen,Stordalen
Psolus squamatus	14		Psolidae	?,?,?,?,?,###############################################################################################################################################################################################################################################################,?,?,?,?,?,###############################################################################################################################################################################################################################################################,29.08.1962,?	Beian,Bergen,Bergen,Bergen,Bergen,B�mlahuk,Flor�,Graven & �iefjord,Hardanger,Manger,R�dberget,Skjerjehamn,Store Karls�y,Troms� & Nordm�re
Sertularella fusiformis	4	Hydroida	Sertulariidae	07.11.1931,22.12.1931,05.01.1932,05.10.1931	Split,Split,Split,Split
Sertularella fusiformis adriatica	1	Hydroida	Sertulariidae	03.12.1931	Split
Sertularella fusiformis glabra	2	Hydroida	Sertulariidae	11.11.1931,03.12.1931	Split,Split
Sertularella fusiformis ornata	3	Hydroida	Sertulariidae	17.11.1931,14.05.1931,07.06.1931	Split,Split,Split
Sertularia tenera	1	Hydroida	Sertulariidae	?	Norden
Sertularia tenera spitsbergensis	2	Hydroida	Sertulariidae	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################	Norskehavet,Norskehavet
Styela coriacea	7	Ascidiacea	Styelidae	27.07.1930,19.07.1930,19.07.1930,26.07.1930,02.08.1930,?,15.08.1930	Claveringfjorden,Kapp Herschel, Claveringfjorden,Kapp Herschel, Claveringfjorden,Loch Fyne,Myggbukta,Storskj�r,Vegasund
Stylatula elegans	5	Pennatularia	Virgulariidae	16.07.1920,01.11.1934,?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################	Gr��yrenna,Ildjernsflua,Kristiansund,Kristiansund,Norden
Thyone gadeana	24		Cucumariidae	11.07.1910,09.01.1953,21.07.1910,13.01.1910,01.01.1919,01.07.1911,24.07.1953,27.07.1951,14.07.1950,14.07.1950,17.04.1953,20.07.1951,04.08.1935,22.08.1910,19.08.1908,09.05.1978,22.07.1918,24.07.1953,13.07.1950,13.07.1950,21.07.1950,19.07.1950,18.07.1950,13.07.1950	Askholmene,Bev�ykollen,Bj�rnen,Bol�rne,Dr�bak,Dr�bak,Fulehuk - Svenner,Gr�nningen - Ryvingen,Homborsund - Gr�nningen,Homborsund - Gr�nningen,Jel�ya,Lindesnes - Lista,Nordre Kr�ka,Ramvikgrunnen,Ran�,Stormeberget,Storskj�r,Svenner - Jomfruland,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund
Thyonidium hyalinum	11		Phyllophoridae	31.05.1952,24.05.1952,?,04.02.1955,19.09.1952,16.09.1953,?,09.06.1953,14.08.1952,02.08.1952,?	Askholmene,Bev�ykollen,Dr�bak,Dr�bak,Filtvet fyr,H�ka,Manger,Rauer, Fredrikstad,Stormeberget,Storskj�r,S�ndfjord
Tubularia regalis	3	Hydroida	"Tubulariidae "	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,01.06.1950	Gr�nlandshavet,Norskehavet,R�dberget
Zygophylax pinnata	6	Hydroida	Zygophylacidae	###############################################################################################################################################################################################################################################################,?,03.08.1900,?,?,###############################################################################################################################################################################################################################################################	Barentshavet,Hinlopen,Nord-Atlanterhavet,Norden,Norden,Norskehavet
