species	number	order	family	collDate	country
Ischyrocerus minutus	8		Ischyroceridae	?,?,?,?,29.06.1901,?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################	Hitra & Fr�ya,Karm�y,Norden,Norge,Nunavut,Oslofjorden,Rice Strait,Rice Strait
Lamprops fasciatus	10		Lampropidae	?,?,?,?,?,?,?,?,?,?	Finnmark,Finnmark,Fredriksvern, Stavern,Hasvik,Kvalben,Norden,Norden,Norden,Sirev�g,Vads�
Lebbeus groenlandicus	15		Hippolytidae	11.08.1931,17.07.1930,08.08.1931,28.07.1929,12.07.1900,26.07.1930,01.08.1930,30.07.1900,08.07.1901,07.03.1900,22.06.1900,26.07.1900,15.02.1937,###############################################################################################################################################################################################################################################################,24.07.1900	Claveringfjorden,Kapp Herschel, Claveringfjorden,Kapp Mary,Landingsdalen,Lands End,Loch Fyne,Myggbukta,Nunavut,Renbukten,Sj�p�lse Ness,Skj�ret,Stordalen,Tasiilaq,Upernivik,Vinterhavnen
Lepeophtheirus hippoglossi	5	Siphonostomatoida	Caligidae	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?,?,?	Bod�,Bod�,Manger,Manger,Norge
Leptomysis gracilis	9		Mysidae	?,?,?,?,?,?,?,?,?	Bol�rne,Bol�rne,Bol�rne,Holmestrand,Holmestrand,Norge,Norge,Norge,Norge
Leptostylis longimana	20		Diastylidae	30.01.1953,01.11.1952,?,15.11.1952,10.07.1985,01.11.1952,14.01.1955,14.01.1955,01.11.1952,01.11.1952,15.05.1953,17.04.1953,?,?,?,?,?,10.03.1952,31.05.1952,25.01.1952	Breiangen,Digeruddypet,Dr�bak,Dr�bak,Elle lykt,Gr��yleira, Dr�bak,Gr��yleira, Dr�bak,Gr��yleira, Dr�bak,H��ya,H��ya,Jel�ya,Jel�ya,Norden,Norden,Norden,Norden,Oslofjorden,Stormeberget,Stormeberget,Tofteholmen, Breiangen
Limnadia lenticularis	17	Conchostraca	Limnadiidae	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?,###############################################################################################################################################################################################################################################################,?,?,?,?,?,?,?,?,?,###############################################################################################################################################################################################################################################################,?,###############################################################################################################################################################################################################################################################	Merd�,Merd�,Merd�,Merd�,Merd�,Merd�,Merd�,Norden,Norden,Norden,Norden,Norden,Norden,Norden,Norden,R�nneby,R�nneby
Limnoria lignorum	11		"Limnoriidae "	19.09.1952,10.07.1915,?,?,10.06.1914,?,?,?,01.07.1952,01.10.1954,23.07.1953	Brenntangen,Digerud,Dr�bak,Flor�,Hvitsten,Kristiansund,Moss,Norden,Sandspollen,Skiphellebukta,Svenner - Jomfruland
Lophogaster typicus	15		Lophogastridae	?,?,?,?,?,?,?,?,?,?,?,?,?,?,?	Bol�rne,Farsund,Gr�nsfjorden,Holmestrand,Holmestrand,Hus�y,Kristiansand,Norden,Norden,Norden,Norden,Norden,Norge,Norge,Norge
Lysianassa costae	8		Lysianassidae	?,?,?,?,?,?,?,?	Hus�y,Hus�y,Karm�y,Kopervik,La Spezia,Mosterhamn,Napoli,Norge
Metopa bruzelii	7		Stenothoidae	?,?,?,?,?,?,###############################################################################################################################################################################################################################################################	Bratholmen & Trondheimsfjorden,Hammerfest,Norden,Norden,Norsk�yene,Nuuk,Rice Strait
Metopa longicornis	5		Stenothoidae	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?	Nordishavet,Nordishavet,Nordishavet,Nordishavet,Nuuk
Munida rugosa	8		Galatheidae	?,?,?,09.02.1965,?,07.04.1928,###############################################################################################################################################################################################################################################################,05.09.1984	Flekkefjord,Flekkefjord,Grimstad,Holmestrand,Manger,Nevlunghavn,Norden,Nygrunnen, Filtvet
